,word,frequency
312,incense,117.0
313,an_airplane,42.0
314,lookin,16758.0
315,lookie,23.0
316,eradicate,13.0
317,mortified,24.0
318,medulla_oblongata,27.0
319,gopher,19.0
320,rooks,16.0
321,escalade,198.0
322,humming,79.0
323,ozium,11.0
324,hummina,16.0
325,smackdown,12.0
326,fra,33.0
327,pull_strings,45.0
328,fre,41.0
329,union,119.0
330,fri,25.0
331,onomatopoeia,16.0
332,fro,126.0
333,kojak,23.0
334,muck,36.0
335,much,8429.0
336,fry,324.0
337,theyd_rather,95.0
338,tallest,26.0
339,obese,64.0
340,retrospect,27.0
341,spit,7063.0
342,davy,12.0
343,speedin,419.0
344,spic,24.0
345,dave,236.0
346,petey_pablo,31.0
347,aventador,27.0
348,spin,1113.0
349,venoms,11.0
350,avrei,29.0
351,professionally,12.0
352,employ,49.0
353,sean_price,104.0
354,misconstrued,17.0
355,droppin,1830.0
356,unloading,20.0
357,elaborate,42.0
358,biddies,22.0
359,unot,12.0
360,n_y,182.0
361,n_t,58.0
362,ditching,30.0
363,n_w,100.0
364,majik,16.0
365,conditioned,37.0
366,elmira,11.0
367,n_o,269.0
368,n_e,161.0
369,controversy,69.0
370,insatiable,22.0
371,gentrify,16.0
372,preachin,269.0
373,memorial,40.0
374,splif,11.0
375,jungs,12.0
376,omarion,30.0
377,honk,22.0
378,solaar,13.0
379,split,1981.0
380,principals,19.0
381,junge,27.0
382,boiled,38.0
383,effortlessly,20.0
384,marches,16.0
385,probaly,20.0
386,torpedoes,14.0
387,marched,21.0
388,supper,111.0
389,featherweight,58.0
390,zoomin,55.0
391,empire_state,36.0
392,third_eye,185.0
393,nomore,11.0
394,repeatin,26.0
395,corporate,234.0
396,massaging,13.0
397,plaque,290.0
398,gigolo,39.0
399,repin,12.0
400,dun_dun,60.0
401,airbag,14.0
402,nickel_nine,33.0
403,brandish,23.0
404,lasso,37.0
405,hah,497.0
406,hai,170.0
407,hal,17.0
408,ham,258.0
409,han,58.0
410,haa,32.0
411,hab,30.0
412,had,27803.0
413,advancement,18.0
414,hay,251.0
415,derrty,71.0
416,beloved,51.0
417,duffel,52.0
418,wenn_ich,53.0
419,har,134.0
420,has,3154.0
421,hat,1736.0
