,Comp1,Comp2,Word,Topic
133,-11.61416152,9.620715469,deal,Other
134,14.70231559,-16.19914599,father,family
135,-17.21115801,16.06315053,round,violence
136,-20.27849254,-5.690779321,box,Other
137,-3.55239407,8.236895737,boy,men
138,-4.023478773,4.778178718,fuck,curses
139,-18.89533337,-1.50589912,police,cops
140,-13.01827082,1.136495756,lick,sex
141,-10.900641,-13.64565297,squad,gangs
142,-20.57644043,3.082726732,takin,Other
143,-6.45812916,2.843918168,get,Other
144,-8.682369479,-12.02484636,seat,cars
145,12.40143264,-3.855690052,wonder,Other
146,4.793763562,0.6191646452,enough,Other
147,19.96866439,10.30175743,ima,Other
148,10.53524148,17.601277,sound,rap
149,-18.16982123,-8.543485656,cock,sex
150,3.416059376,7.345781716,again,Other
151,-12.82800007,19.13397483,u,men
152,-5.058132947,0.1494682112,through,Other
153,-23.55914891,-6.980106857,foreign,cars
154,-0.2742186479,-3.058945258,point,Other
155,5.14090676,4.026213961,anythin,Other
156,5.564341295,4.121783247,everythin,Other
157,-5.904545831,3.715157608,cut,violence
158,-26.9160531,12.5385744,cup,drugs
159,2.501516383,-1.070845079,cuz,men
160,-24.02627142,-0.8999943277,knock,Other
161,24.15467257,3.478273193,didnt,Other
162,-16.13440293,-5.425952849,brand_new,Other
163,3.415340081,-4.568804874,have,Other
164,-11.72466081,4.846358581,turn,Other
165,0.3463129278,1.444610904,like,Other
166,-9.956571573,-3.594464941,chick,women
167,-15.55334113,-16.60862893,hair,women
168,-17.86092931,11.63516496,coke,drugs
169,-13.30317653,4.083514824,flip,drugs
170,12.57224256,-14.15907237,school,Other
171,-14.46412665,-2.944394625,blue,Other
172,0.6555347,-11.18282024,hide,Other
173,23.730564,7.725142483,would,Other
174,6.4770976,-5.226639163,ever,Other
175,-14.42780599,-15.94657795,finger,sex
176,2.2691811,-12.93347625,seein,Other
177,-13.87851599,18.60145611,n,Other
178,-9.551875028,-2.830656467,shawty,women
179,19.95053017,-1.276285875,gave,Other
180,16.62376185,9.710726269,finna,Other
181,5.066496942,9.357877224,stuck,Other
182,5.041730816,-0.05459755499,sometime,Other
183,4.286381678,-12.44393133,picture,Other
184,8.822319006,8.103325869,goes,Other
185,-5.399001728,-10.3856345,today,Other
186,-14.08390793,12.4961326,plug,drugs
187,-20.30620284,8.962743619,rollin,drugs
188,12.77708172,-1.033129112,tell,Other
189,9.094513611,-1.338879059,sure,Other
190,8.574386239,-13.54035963,case,prison
